date,tanks,tanks_increment,armored_fighting_vehicles,afv_increment,artillery_systems,artillery_increment,mlrs,mlrs_increment,air_defense_systems,air_defense_increment,aircraft,aircraft_increment,helicopters,helicopters_increment,uav,uav_increment,cruise_missiles,cruise_missiles_increment,ships,ships_increment,submarines,submarines_increment,vehicles_fuel_tanks,vehicles_increment,special_equipment,special_equipment_increment,personnel,personnel_increment
2024-10-08,8940,7,17740,30,19203,47,1223,,973,1,368,,328,,16686,43,2618,3,28,,1,,26185,83,3373,9,662970,1340
2024-10-09,8944,4,17751,11,19222,19,1223,,973,,368,,328,,16718,32,2618,,28,,1,,26240,55,3385,12,664120,1150
2024-10-10,8945,1,17765,14,19263,41,1225,2,976,3,369,1,328,,16767,49,2619,1,28,,1,,26314,74,3386,1,665200,1080
2024-10-11,8953,8,17800,35,19322,59,1229,4,976,,369,,329,1,16837,70,2619,,28,,1,,26398,84,3396,10,666340,1140
2024-10-12,8962,9,17827,27,19381,59,1230,1,976,,369,,329,,16947,110,2619,,28,,1,,26513,115,3434,38,667630,1290
2024-10-13,8971,9,17876,49,19410,29,1231,1,978,2,369,,329,,16992,45,2619,,28,,1,,26584,71,3435,1,668930,1300
2024-10-14,8975,4,17895,19,19421,11,1231,,978,,369,,329,,17009,17,2619,,28,,1,,26622,38,3437,2,670190,1260
2024-10-15,8988,13,17939,44,19430,9,1231,,978,,369,,329,,17019,10,2620,1,28,,1,,26654,32,3441,4,671400,1210
2024-10-16,8997,9,17969,30,19459,29,1231,,978,,369,,329,,17050,31,2620,,28,,1,,26732,78,3441,,672850,1450
2024-10-17,9014,17,18002,33,19510,51,1232,1,978,,369,,329,,17104,54,2620,,28,,1,,26815,83,3446,5,674270,1420
2024-10-18,9027,13,18053,51,19533,23,1232,,978,,369,,329,,17152,48,2620,,28,,1,,26908,93,3448,2,675800,1530
2024-10-19,9035,8,18072,19,19548,15,1232,,978,,369,,329,,17230,78,2623,3,28,,1,,26946,38,3473,25,677180,1380
2024-10-20,9047,12,18111,39,19565,17,1232,,978,,369,,329,,17287,57,2624,1,28,,1,,26987,41,3476,3,678520,1340
2024-10-21,9071,24,18175,64,19589,24,1232,,979,1,369,,329,,17333,46,2624,,28,,1,,27034,47,3479,3,680230,1710
2024-10-22,9079,8,18199,24,19623,34,1234,2,981,2,369,,329,,17404,71,2625,1,28,,1,,27111,77,3499,20,681580,1350
2024-10-23,9088,9,18229,30,19674,51,1234,,981,,369,,329,,17489,85,2625,,28,,1,,27217,106,3509,10,683040,1460
2024-10-24,9090,2,18254,25,19719,45,1236,2,981,,369,,329,,17597,108,2625,,28,,1,,27286,69,3513,4,684280,1240
2024-10-25,9097,7,18287,33,19753,34,1238,2,982,1,369,,329,,17670,73,2625,,28,,1,,27365,79,3535,22,685910,1630
2024-10-26,9109,12,18332,45,19782,29,1240,2,984,2,369,,329,,17726,56,2625,,28,,1,,27460,95,3541,6,687600,1690
2024-10-27,9113,4,18355,23,19821,39,1240,,984,,369,,329,,17799,73,2625,,28,,1,,27560,100,3542,1,689040,1440
2024-10-28,9120,7,18395,40,19872,51,1240,,984,,369,,329,,17867,68,2625,,28,,1,,27660,100,3556,14,690720,1680
2024-10-29,9129,9,18404,9,19917,45,1241,1,984,,369,,329,,17939,72,2625,,28,,1,,27749,89,3566,10,692080,1360
2024-10-30,9137,8,18433,29,19955,38,1242,1,986,2,369,,329,,17979,40,2625,,28,,1,,27840,91,3567,1,693640,1560
2024-10-31,9156,19,18450,17,20013,58,1243,1,994,8,369,,329,,18063,84,2627,2,28,,1,,27961,121,3570,3,694950,1310
2024-11-01,9162,6,18470,20,20039,26,1244,1,994,,369,,329,,18088,25,2628,1,28,,1,,28038,77,3579,9,696410,1460
2024-11-02,9170,8,18487,17,20076,37,1244,,994,,369,,329,,18117,29,2628,,28,,1,,28114,76,3583,4,697680,1270
2024-11-03,9182,12,18523,36,20086,10,1244,,994,,369,,329,,18187,70,2629,1,28,,1,,28160,46,3584,1,699090,1410
2024-11-04,9193,11,18538,15,20121,35,1245,1,994,,369,,329,,18280,93,2629,,28,,1,,28237,77,3587,3,700390,1300
2024-11-05,9208,15,18581,43,20150,29,1245,,996,2,369,,329,,18309,29,2631,2,28,,1,,28278,41,3587,,701650,1260
2024-11-06,9214,6,18592,11,20170,20,1245,,996,,369,,329,,18366,57,2631,,28,,1,,28333,55,3588,1,702900,1250
2024-11-07,9224,10,18612,20,20194,24,1245,,996,,369,,329,,18408,42,2631,,28,,1,,28411,78,3596,8,704300,1400
2024-11-08,9233,9,18661,49,20226,32,1245,,996,,369,,329,,18526,118,2631,,28,,1,,28495,84,3602,6,705880,1580
2024-11-09,9238,5,18697,36,20249,23,1245,,996,,369,,329,,18575,49,2634,3,28,,1,,28561,66,3604,2,707540,1660
2024-11-10,9249,11,18726,29,20280,31,1245,,996,,369,,329,,18619,44,2634,,28,,1,,28683,122,3604,,708890,1350
2024-11-11,9253,4,18766,40,20314,34,1245,,996,,369,,329,,18676,57,2636,2,28,,1,,28802,119,3615,11,710660,1770
2024-11-12,9276,23,18847,81,20352,38,1249,4,996,,369,,329,,18737,61,2636,,28,,1,,28870,68,3615,,712610,1950
2024-11-13,9300,24,18896,49,20408,56,1249,,996,,369,,329,,18798,61,2636,,28,,1,,28966,96,3615,,714380,1770
2024-11-14,9319,19,18947,51,20472,64,1251,2,997,1,369,,329,,18852,54,2640,4,28,,1,,29090,124,3615,,716070,1690
2024-11-15,9330,11,18968,21,20492,20,1251,,999,2,369,,329,,18886,34,2641,1,28,,1,,29167,77,3615,,717590,1520
2024-11-16,9338,8,18994,26,20520,28,1251,,999,,369,,329,,18914,28,2641,,28,,1,,29236,69,3615,,719240,1650
2024-11-17,9350,12,19021,27,20556,36,1251,,999,,369,,329,,18974,60,2641,,28,,1,,29321,85,3615,,720880,1640
2024-11-18,9365,15,19059,38,20586,30,1251,,999,,369,,329,,19073,99,2753,112,28,,1,,29428,107,3615,,722440,1560
2024-11-19,9382,17,19092,33,20632,46,1251,,999,,369,,329,,19111,38,2754,1,28,,1,,29548,120,3615,,724050,1610
2024-11-20,9390,8,19119,27,20681,49,1251,,1001,2,369,,329,,19202,91,2756,2,28,,1,,29648,100,3615,,725740,1690
2024-11-21,9398,8,19143,24,20731,50,1251,,1003,2,369,,329,,19259,57,2756,,28,,1,,29745,97,3615,,727250,1510
2024-11-22,9399,1,19156,13,20736,5,1251,,1004,1,369,,329,,19260,1,2764,8,28,,1,,29777,32,3615,,728300,1050
2024-11-23,9419,20,19192,36,20760,24,1251,,1004,,369,,329,,19365,105,2764,,28,,1,,29850,73,3615,,729720,1420
2024-11-24,9423,4,19209,17,20765,5,1251,,1004,,369,,329,,19366,1,2764,,28,,1,,29864,14,3615,,730740,1020
2024-11-25,9429,6,19236,27,20787,22,1251,,1004,,369,,329,,19480,114,2764,,28,,1,,29948,84,3615,,732350,1610
2024-11-26,9435,6,19256,20,20806,19,1251,,1004,,369,,329,,19552,72,2765,1,28,,1,,30042,94,3615,,733830,1480
2024-11-27,9449,14,19304,48,20830,24,1251,,1005,1,369,,329,,19616,64,2765,,28,,1,,30126,84,3615,,735410,1580
2024-11-28,9450,1,19306,2,20852,22,1251,,1005,,369,,329,,19661,45,2765,,28,,1,,30186,60,3615,,736630,1220
2024-11-29,9458,8,19343,37,20886,34,1251,,1019,14,369,,329,,19750,89,2851,86,28,,1,,30359,173,3615,,738660,2030
2024-11-30,9463,5,19355,12,20909,23,1253,2,1019,,369,,329,,19792,42,2851,,28,,1,,30431,72,3617,2,740400,1740
2024-12-01,9469,6,19369,14,20923,14,1253,,1019,,369,,329,,19803,11,2852,1,28,,1,,30507,76,3619,2,742130,1730
2024-12-02,9478,9,19397,28,20953,30,1253,,1019,,369,,329,,19886,83,2852,,28,,1,,30606,99,3619,,743920,1790
2024-12-03,9486,8,19419,22,20976,23,1253,,1019,,369,,329,,19917,31,2855,3,28,,1,,30666,60,3627,8,745700,1780
2024-12-04,9493,7,19450,31,21002,26,1253,,1020,1,369,,329,,19946,29,2855,,28,,1,,30746,80,3628,1,747370,1670
2024-12-05,9506,13,19472,22,21023,21,1253,,1020,,369,,329,,19977,31,2855,,28,,1,,30843,97,3630,2,748950,1580
2024-12-06,9514,8,19518,46,21043,20,1253,,1020,,369,,329,,20023,46,2857,2,28,,1,,30899,56,3633,3,750610,1660
2024-12-07,9514,,19535,17,21055,12,1253,,1022,2,369,,329,,20042,19,2857,,28,,1,,30948,49,3633,,751910,1300
2024-12-08,9519,5,19571,36,21058,3,1253,,1023,1,369,,329,,20071,29,2857,,28,,1,,30965,17,3635,2,753370,1460
2024-12-09,9519,,19589,18,21061,3,1253,,1023,,369,,329,,20093,22,2859,2,28,,1,,30989,24,3636,1,754590,1220
2024-12-10,9524,5,19596,7,21064,3,1253,,1023,,369,,329,,20107,14,2859,,28,,1,,31037,48,3637,1,755940,1350
2024-12-11,9526,2,19616,20,21067,3,1253,,1023,,369,,329,,20111,4,2859,,28,,1,,31073,36,3641,4,757340,1400
2024-12-12,9532,6,19644,28,21072,5,1253,,1023,,369,,329,,20111,,2861,2,28,,1,,31127,54,3642,1,758730,1390
2024-12-13,9537,5,19675,31,21078,6,1253,,1023,,369,,329,,20176,65,2861,,28,,1,,31177,50,3642,,760120,1390
2024-12-14,9539,2,19675,,21102,24,1253,,1023,,369,,329,,20229,53,2861,,28,,1,,31217,40,3644,2,761160,1040
2024-12-15,9551,12,19707,32,21128,26,1256,3,1025,2,369,,329,,20356,127,2943,82,28,,1,,31398,181,3648,4,762440,1280
2024-12-16,9563,12,19736,29,21151,23,1256,,1025,,369,,329,,20372,16,2943,,28,,1,,31480,82,3650,2,763510,1070
2024-12-17,9567,4,19751,15,21159,8,1256,,1025,,369,,329,,20406,34,2943,,28,,1,,31550,70,3650,,765110,1600
2024-12-18,9571,4,19772,21,21164,5,1256,,1025,,369,,329,,20470,64,2943,,28,,1,,31610,60,3652,2,766690,1580
2024-12-19,9576,5,19799,27,21178,14,1256,,1026,1,369,,329,,20521,51,2943,,28,,1,,31678,68,3656,4,768220,1530
2024-12-20,9584,8,19823,24,21220,42,1256,,1027,1,369,,329,,20600,79,2943,,28,,1,,31793,115,3662,6,770420,2200
2024-12-21,9594,10,19841,18,21252,32,1256,,1027,,369,,329,,20685,85,2947,4,28,,1,,31891,98,3662,,772280,1860
2024-12-22,9609,15,19870,29,21284,32,1256,,1030,3,369,,329,,20735,50,2947,,28,,1,,31972,81,3662,,774100,1820
2024-12-23,9615,6,19885,15,21313,29,1256,,1030,,369,,329,,20790,55,2948,1,28,,1,,32039,67,3664,2,776090,1990
2024-12-24,9624,9,19915,30,21323,10,1256,,1030,,369,,329,,20834,44,2948,,28,,1,,32086,47,3667,3,777720,1630
2024-12-25,9628,4,19923,8,21333,10,1256,,1030,,369,,329,,20908,74,2948,,28,,1,,32117,31,3667,,779320,1600
2024-12-26,9630,2,19933,10,21357,24,1256,,1031,1,369,,329,,20971,63,3003,55,28,,1,,32180,63,3667,,780860,1540
2024-12-27,9644,14,19951,18,21379,22,1256,,1032,1,369,,329,,20999,28,3003,,28,,1,,32262,82,3668,1,782510,1650
2024-12-28,9651,7,19970,19,21408,29,1256,,1032,,369,,329,,21013,14,3003,,28,,1,,32328,66,3668,,784200,1690
2024-12-29,9656,5,19981,11,21450,42,1256,,1032,,369,,329,,21038,25,3003,,28,,1,,32410,82,3670,2,785930,1730
2024-12-30,9663,7,20003,22,21494,44,1256,,1032,,369,,329,,21069,31,3003,,28,,1,,32551,141,3670,,787940,2010
2024-12-31,9668,5,20030,27,21528,34,1256,,1032,,369,,329,,21081,12,3003,,28,,1,,32626,75,3671,1,789550,1610
2025-01-01,9672,4,20043,13,21532,4,1256,,1032,,369,,330,1,21131,50,3003,,28,,1,,32675,49,3672,1,790800,1250
2025-01-02,9676,4,20056,13,21552,20,1256,,1032,,369,,330,,21200,69,3003,,28,,1,,32729,54,3675,3,792170,1370
2025-01-03,9677,1,20070,14,21555,3,1257,1,1032,,369,,330,,21249,49,3003,,28,,1,,32770,41,3675,,793250,1080
2025-01-04,9679,2,20093,23,21578,23,1257,,1032,,369,,331,1,21356,107,3006,3,28,,1,,32843,73,3675,,794760,1510
2025-01-05,9686,7,20119,26,21603,25,1257,,1032,,369,,331,,21447,91,3006,,28,,1,,32940,97,3677,2,796490,1730
2025-01-06,9700,14,20164,45,21665,62,1258,1,1034,2,369,,331,,21625,178,3014,8,28,,1,,33056,116,3681,4,798040,1550
2025-01-07,9710,10,20189,25,21710,45,1260,2,1038,4,369,,331,,21708,83,3014,,28,,1,,33226,170,3681,,800010,1970
2025-01-08,9714,4,20205,16,21729,19,1260,,1038,,369,,331,,21727,19,3014,,28,,1,,33307,81,3681,,801670,1660
2025-01-09,9731,17,20221,16,21765,36,1260,,1038,,369,,331,,21813,86,3014,,28,,1,,33387,80,3686,5,803100,1430
2025-01-10,9741,10,20253,32,21789,24,1260,,1041,3,369,,331,,21884,71,3017,3,28,,1,,33473,86,3689,3,804930,1830
2025-01-11,9751,10,20271,18,21817,28,1260,,1042,1,369,,331,,21958,74,3017,,28,,1,,33534,61,3692,3,806500,1570
2025-01-12,9756,5,20289,18,21839,22,1260,,1042,,369,,331,,22021,63,3018,1,28,,1,,33598,64,3694,2,808250,1750
2025-01-13,9764,8,20315,26,21876,37,1261,1,1044,2,369,,331,,22204,183,3018,,28,,1,,33708,110,3695,1,809760,1510
2025-01-14,9767,3,20326,11,21923,47,1262,1,1044,,369,,331,,22276,72,3018,,28,,1,,33791,83,3696,1,811090,1330
2025-01-15,9780,13,20348,22,21975,52,1262,,1046,2,369,,331,,22383,107,3018,,28,,1,,33995,204,3696,,812670,1580
2025-01-16,9791,11,20368,20,22015,40,1262,,1046,,369,,331,,22503,120,3049,31,28,,1,,34132,137,3697,1,814150,1480
2025-01-17,9803,12,20381,13,22019,4,1262,,1046,,369,,331,,22566,63,3049,,28,,1,,34256,124,3699,2,815820,1670
2025-01-18,9803,,20394,13,22040,21,1262,,1046,,369,,331,,22579,13,3049,,28,,1,,34325,69,3699,,817160,1340
2025-01-19,9811,8,20412,18,22055,15,1262,,1046,,369,,331,,22615,36,3051,2,28,,1,,34401,76,3700,1,818740,1580
2025-01-20,9821,10,20454,42,22074,19,1262,,1049,3,369,,331,,22768,153,3051,,28,,1,,34488,87,3706,6,820430,1690
2025-01-21,9833,12,20477,23,22134,60,1262,,1050,1,369,,331,,22898,130,3051,,28,,1,,34682,194,3710,4,822030,1600
2025-01-22,9844,11,20485,8,22194,60,1262,,1050,,369,,331,,23039,141,3051,,28,,1,,34837,155,3711,1,823980,1950
2025-01-23,9850,6,20497,12,22256,62,1262,,1050,,369,,331,,23111,72,3051,,28,,1,,34905,68,3714,3,825320,1340
2025-01-24,9852,2,20508,11,22295,39,1263,1,1050,,369,,331,,23162,51,3051,,28,,1,,34992,87,3715,1,826820,1500
2025-01-25,9859,7,20545,37,22309,14,1263,,1050,,369,,331,,23213,51,3053,2,28,,1,,35071,79,3715,,828470,1650
2025-01-26,9868,9,20549,4,22323,14,1263,,1050,,369,,331,,23253,40,3053,,28,,1,,35124,53,3715,,830190,1720
2025-01-27,9871,3,20561,12,22339,16,1263,,1050,,369,,331,,23327,74,3053,,28,,1,,35183,59,3716,1,831620,1430
2025-01-28,9876,5,20573,12,22366,27,1263,,1050,,369,,331,,23399,72,3053,,28,,1,,35269,86,3718,2,833000,1380
2025-01-29,9886,10,20597,24,22395,29,1264,1,1050,,369,,331,,23456,57,3054,1,28,,1,,35366,97,3721,3,834670,1670
2025-01-30,9890,4,20614,17,22412,17,1264,,1050,,369,,331,,23510,54,3054,,28,,1,,35451,85,3725,4,835940,1270
2025-01-31,9893,3,20631,17,22445,33,1265,1,1050,,369,,331,,23573,63,3054,,28,,1,,35552,101,3726,1,837610,1670
2025-02-01,9902,9,20653,22,22493,48,1266,1,1050,,369,,331,,23694,121,3054,,28,,1,,35629,77,3727,1,839040,1430
2025-02-02,9908,6,20667,14,22538,45,1267,1,1050,,369,,331,,23793,99,3054,,28,,1,,35709,80,3729,2,840360,1320
2025-02-03,9920,12,20685,18,22589,51,1268,1,1053,3,369,,331,,23911,118,3054,,28,,1,,35798,89,3731,2,841660,1300
2025-02-04,9938,18,20709,24,22655,66,1269,1,1053,,369,,331,,24003,92,3054,,28,,1,,35921,123,3733,2,842930,1270
2025-02-05,9947,9,20721,12,22707,52,1269,,1053,,369,,331,,24102,99,3054,,28,,1,,36078,157,3735,2,844070,1140
2025-02-06,9965,18,20737,16,22753,46,1271,2,1055,2,369,,331,,24185,83,3054,,28,,1,,36211,133,3737,2,845310,1240
2025-02-07,9975,10,20755,18,22785,32,1271,,1056,1,369,,331,,24301,116,3054,,28,,1,,36307,96,3738,1,846650,1340
2025-02-08,9981,6,20777,22,22820,35,1273,2,1056,,369,,331,,24403,102,3054,,28,,1,,36402,95,3738,,847860,1210
2025-02-09,9992,11,20797,20,22844,24,1273,,1056,,370,1,331,,24486,83,3054,,28,,1,,36529,127,3739,1,849320,1460
2025-02-10,10001,9,20813,16,22879,35,1273,,1059,3,370,,331,,24623,137,3054,,28,,1,,36638,109,3740,1,850490,1170
2025-02-11,10014,13,20844,31,22923,44,1275,2,1060,1,370,,331,,24755,132,3056,2,28,,1,,36807,169,3741,1,851880,1390
2025-02-12,10023,9,20871,27,22976,53,1276,1,1061,1,370,,331,,24919,164,3057,1,28,,1,,36928,121,3742,1,853030,1150
2025-02-13,10040,17,20894,23,23034,58,1278,2,1063,2,370,,331,,25072,153,3063,6,28,,1,,37096,168,3744,2,854280,1250
2025-02-14,10057,17,20910,16,23115,81,1282,4,1066,3,370,,331,,25224,152,3063,,28,,1,,37252,156,3745,1,855480,1200
2025-02-15,10068,11,20927,17,23174,59,1283,1,1067,1,370,,331,,25341,117,3063,,28,,1,,37379,127,3747,2,856660,1180
2025-02-16,10073,5,21011,84,23185,11,1283,,1067,,370,,331,,25377,36,3063,,28,,1,,37456,77,3749,2,858390,1730
2025-02-17,10089,16,21063,52,23222,37,1283,,1067,,370,,331,,25505,128,3063,,28,,1,,37605,149,3750,1,859920,1530
2025-02-18,10101,12,21075,12,23275,53,1285,2,1068,1,370,,331,,25686,181,3064,1,28,,1,,37679,74,3751,1,861090,1170
2025-02-19,10120,19,21098,23,23347,72,1288,3,1072,4,370,,331,,25861,175,3064,,28,,1,,37825,146,3752,1,862390,1300
2025-02-20,10134,14,21112,14,23410,63,1291,3,1078,6,370,,331,,26021,160,3064,,28,,1,,37961,136,3752,,863580,1190
2025-02-21,10146,12,21130,18,23462,52,1295,4,1080,2,370,,331,,26156,135,3064,,28,,1,,38104,143,3753,1,864860,1280
2025-02-22,10161,15,21139,9,23528,66,1295,,1080,,370,,331,,26311,155,3064,,28,,1,,38243,139,3754,1,866000,1140
2025-02-23,10168,7,21151,12,23582,54,1296,1,1081,1,370,,331,,26428,117,3064,,28,,1,,38334,91,3757,3,867180,1180
2025-02-24,10177,9,21157,6,23626,44,1299,3,1081,,370,,331,,26645,217,3064,,28,,1,,38444,110,3757,,868230,1050
2025-02-25,10182,5,21168,11,23652,26,1299,,1083,2,370,,331,,26767,122,3064,,28,,1,,38582,138,3759,2,869530,1300
2025-02-26,10201,19,21183,15,23686,34,1299,,1085,2,370,,331,,26961,194,3064,,28,,1,,38702,120,3759,,871500,1970
2025-02-27,10209,8,21196,13,23755,69,1299,,1086,1,370,,331,,27102,141,3064,,28,,1,,38842,140,3760,1,871850,1150
2025-02-28,10222,13,21234,17,23847,54,1303,1,1087,,370,,331,,27274,172,3085,,28,,1,,38994,126,3763,4,874560,1060
2025-03-01,10233,11,21249,15,23908,61,1304,1,1088,1,370,,331,,27402,128,3085,,28,,1,,39101,107,3763,,875610,1050
2025-03-02,10241,8,21274,25,23959,51,1306,2,1091,3,370,,331,,27594,192,3085,,28,,1,,39218,117,3768,5,876720,1110
2025-03-03,10252,11,21290,16,24019,60,1306,,1093,2,370,,331,,27655,61,3085,,28,,1,,39327,109,3768,,878070,1350
2025-03-04,10255,3,21298,8,24064,45,1306,,1094,1,370,,331,,27741,86,3085,,28,,1,,39428,101,3768,,879410,1340
2025-03-05,10256,1,21304,6,24087,23,1306,,1094,,370,,331,,27849,108,3085,,28,,1,,39512,84,3769,1,880660,1250
2025-03-06,10261,5,21311,7,24108,21,1306,,1096,2,370,,331,,27929,80,3085,,28,,1,,39606,94,3769,,881800,1140
2025-03-07,10264,3,21334,23,24124,16,1306,,1096,,370,,331,,28024,95,3085,,28,,1,,39678,72,3769,,882950,1150
2025-03-08,10268,4,21346,12,24148,24,1307,1,1099,3,370,,331,,28172,148,3120,35,28,,1,,39791,113,3772,3,883950,1000
2025-03-09,10274,6,21360,14,24206,58,1310,3,1101,2,370,,331,,28362,190,3120,,28,,1,,39933,142,3773,1,885130,1180
2025-03-10,10292,18,21400,40,24271,65,1311,1,1102,1,370,,331,,28603,241,3120,,28,,1,,40071,138,3773,,886320,1190
2025-03-11,10303,11,21423,23,24346,75,1313,2,1103,1,370,,331,,28801,198,3121,1,28,,1,,40205,134,3775,2,887620,1300
2025-03-12,10306,3,21430,7,24390,44,1314,1,1103,,370,,331,,28912,111,3121,,28,,1,,40274,69,3777,2,889050,1430
2025-03-13,10307,1,21432,2,24409,19,1314,,1103,,370,,331,,28983,71,3121,,28,,1,,40355,81,3777,,890250,1200
2025-03-14,10313,6,21443,11,24455,46,1314,,1103,,370,,331,,29136,153,3121,,28,,1,,40469,114,3777,,891660,1410
2025-03-15,10315,2,21458,15,24483,28,1315,1,1103,,370,,331,,29233,97,3121,,28,,1,,40571,102,3777,,892840,1180
2025-03-16,10325,10,21478,20,24561,78,1317,2,1104,1,370,,331,,29413,180,3121,,28,,1,,40684,113,3777,,894240,1400
2025-03-17,10344,19,21489,11,24598,37,1318,1,1104,,370,,331,,29467,54,3121,,28,,1,,40785,101,3778,1,895450,1210
2025-03-18,10352,8,21509,20,24640,42,1319,1,1107,3,370,,331,,29616,149,3121,,28,,1,,40892,107,3780,2,897010,1560
2025-03-19,10364,12,21523,14,24704,64,1320,1,1107,,370,,331,,29716,100,3121,,28,,1,,41003,111,3780,,898070,1060
2025-03-20,10377,13,21561,38,24747,43,1322,2,1110,3,370,,331,,29895,179,3121,,28,,1,,41094,91,3780,,899470,1400
2025-03-21,10394,17,21589,28,24848,101,1324,2,1111,1,370,,331,,30080,185,3121,,28,,1,,41259,165,3782,2,900800,1330
2025-03-22,10403,9,21609,20,24944,96,1327,3,1111,,370,,331,,30338,258,3121,,28,,1,,41425,166,3782,,902010,1210
2025-03-23,10412,9,21636,27,25048,104,1333,6,1116,5,370,,331,,30495,157,3121,,28,,1,,41610,185,3784,2,903480,1470
2025-03-24,10420,8,21652,16,25129,81,1338,5,1117,1,370,,335,4,30641,146,3121,,28,,1,,41726,116,3785,1,904760,1280
2025-03-25,10425,5,21670,18,25190,61,1341,3,1117,,370,,335,,30759,118,3121,,28,,1,,41824,98,3785,,905940,1180
2025-03-26,10430,5,21685,15,25207,17,1341,,1117,,370,,335,,30818,59,3121,,28,,1,,41901,77,3786,1,907220,1280
2025-03-27,10438,8,21701,16,25265,58,1343,2,1118,1,370,,335,,30926,108,3121,,28,,1,,42070,169,3787,1,908890,1670
2025-03-28,10455,17,21762,61,25387,122,1344,1,1119,1,370,,335,,31070,144,3121,,28,,1,,42280,210,3787,,910750,1860
2025-03-29,10478,23,21796,34,25451,64,1345,1,1122,3,370,,335,,31234,164,3121,,28,,1,,42398,118,3787,,912490,1740
2025-03-30,10492,14,21816,20,25507,56,1347,2,1122,,370,,335,,31345,111,3121,,28,,1,,42528,130,3787,,914000,1510
2025-03-31,10496,4,21819,3,25537,30,1347,,1123,1,370,,335,,31416,71,3121,,28,,1,,42593,65,3787,,915230,1230
2025-04-01,10505,9,21856,37,25552,15,1347,,1123,,370,,335,,31462,46,3123,2,28,,1,,42646,53,3787,,916770,1540
2025-04-02,10515,10,21880,24,25576,24,1347,,1123,,370,,335,,31505,43,3123,,28,,1,,42687,41,3787,,918180,1410
2025-04-03,10521,6,21902,22,25625,49,1348,1,1123,,370,,335,,31597,92,3123,,28,,1,,42775,88,3787,,919570,1390
2025-04-04,10528,7,21932,30,25663,38,1349,1,1123,,370,,335,,31669,72,3123,,28,,1,,42841,66,3787,,920950,1380
2025-04-05,10541,13,21952,20,25730,67,1350,1,1124,1,370,,335,,31778,105,3130,,28,,1,,42954,113,3788,1,922340,1390
2025-04-06,10554,13,21972,20,25786,56,1354,4,1124,,370,,335,,31846,68,3130,,28,,1,,43050,96,3789,1,923670,1330
2025-04-07,10567,13,21997,25,25817,31,1356,2,1124,,370,,335,,31874,28,3145,15,28,,1,,43120,70,3790,1,925020,1350
2025-04-08,10572,5,22011,14,25860,43,1359,3,1126,2,370,,335,,31917,43,3145,,28,,1,,43227,107,3792,2,926310,1290
2025-04-09,10576,4,22021,10,25912,52,1359,,1127,1,370,,335,,31973,56,3145,,28,,1,,43345,118,3792,,927580,1270
2025-04-10,10579,3,22033,12,25982,70,1359,,1127,,370,,335,,32078,105,3145,,28,,1,,43514,169,3796,4,929000,1420
2025-04-11,10580,1,22048,15,26043,61,1360,1,1127,,370,,335,,32200,122,3145,,28,,1,,43679,165,3798,2,930210,1210
2025-04-12,10591,11,22055,7,26092,49,1362,2,1127,,370,,335,,32278,78,3145,,28,,1,,43807,128,3798,,931450,1240
2025-04-13,10603,12,22088,33,26163,71,1362,,1128,1,370,,335,,32425,147,3145,,28,,1,,43950,143,3799,1,932670,1220
2025-04-14,10622,19,22130,42,26222,59,1362,,1130,2,370,,335,,32544,119,3145,,28,,1,,44129,179,3801,2,933980,1310
2025-04-15,10629,7,22150,20,26290,68,1364,2,1132,2,370,,335,,32691,147,3145,,28,,1,,44339,210,3801,,935160,1180
2025-04-16,10638,9,22163,13,26377,87,1364,,1132,,370,,335,,32837,146,3145,,28,,1,,44472,133,3804,3,936210,1050
2025-04-17,10654,16,22217,54,26442,65,1366,2,1135,3,370,,335,,32925,88,3145,,28,,1,,44642,170,3807,3,937440,1230
2025-04-18,10662,8,22257,40,26530,88,1367,1,1136,1,370,,335,,33065,140,3145,,28,,1,,44954,312,3858,51,938970,1530
2025-04-19,10676,14,22266,9,26600,70,1367,,1139,3,370,,335,,33176,111,3148,3,28,,1,,45162,208,3858,,940150,1180
2025-04-20,10677,1,22271,5,26649,49,1367,,1139,,370,,335,,33240,64,3148,,28,,1,,45274,112,3859,1,941100,950
2025-04-21,10679,2,22273,2,26659,10,1367,,1139,,370,,335,,33270,30,3148,,28,,1,,45324,50,3859,,941770,670
2025-04-22,10683,4,22296,19,26689,26,1367,,1140,1,370,,335,,33388,118,3148,,28,,1,,45458,134,3859,,943060,1130
2025-04-23,10691,8,22307,11,26774,85,1368,1,1141,1,370,,335,,33526,138,3148,,28,,1,,45621,163,3860,1,944270,1210
2025-04-24,10694,3,22312,5,26823,49,1369,1,1141,,370,,335,,33660,134,3148,,28,,1,,45755,134,3860,,945330,1060
2025-04-25,10703,9,22315,3,26895,72,1372,3,1144,3,370,,335,,33779,119,3196,48,28,,1,,45906,151,3860,,946500,1170
2025-04-26,10711,8,22320,5,26965,70,1372,,1145,1,370,,335,,33897,118,3196,,28,,1,,46051,145,3860,,947610,1110
2025-04-27,10719,8,22325,5,27007,42,1373,1,1145,,370,,335,,34011,114,3196,,28,,1,,46187,136,3860,,948640,1030
2025-04-28,10723,4,22338,13,27038,31,1373,,1145,,370,,335,,34083,72,3196,,28,,1,,46292,105,3860,,949800,1160
2025-04-29,10728,5,22352,14,27080,42,1373,,1146,1,370,,335,,34177,94,3196,,28,,1,,46432,140,3860,,950860,1060
